eITMS Code,Manufacturer,Model,Lab,Aisle,Location In Aisle,Financial Owner Department,Status,Serial Number,Project Name,Project Organization,Project ID
005C733,CISCO,"RACK: 19"" - 7FT",RTP10 SDU Lab,CC,17,020022838,ACTIVE,103471275,SDU Spares,SDU-RTP10,3
005C734,CISCO,N20-C6508,RTP10 SDU Lab,G,22,020022838,ACTIVE,FOX1427GN18,SDU CVF,SDU-RTP10,2
005C735,CISCO,WS-X6748-GE-TX,RTP10 SDU Lab,DD,28,020022838,ACTIVE,SAL08342P1B,SDU Spares,SDU-RTP10,3
005C736,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236120851,SDU Spares,SDU-RTP10,3
005C737,PENGUIN COMPUTING,ALTUS 1300,RTP10 SDU Lab,CC,17,020022838,ACTIVE,P1236020722,SDU Spares,SDU-RTP10,3
005C739,CISCO,N20-B6620-2,RTP10 SDU Lab,G,22,020022838,ACTIVE,QCI1410A09N,SDU CVF,SDU-RTP10,2
005C73C,CISCO,N20-B6620-2,RTP10 SDU Lab,G,22,020022838,ACTIVE,QCI1404A1F8,SDU CVF,SDU-RTP10,2
005C73D,CISCO,N20-B6620-2,RTP10 SDU Lab,E,07,020022838,ACTIVE,QCI1410A09I,SDU Spares,SDU-RTP10,3
005C73E,CISCO,A02-MEMKIT-004A,RTP10 SDU Lab,E,07,020022838,ACTIVE,QCI1342006H,SDU Spares,SDU-RTP10,3
005C73F,MRV,LX-5250-24VYS1,RTP10 SDU Lab,E,17,020022838,ACTIVE,AABC0000569,SDU CVF,SDU-RTP10,2
005C740,CISCO,CWDM-MUX-8,RTP10 SDU Lab,JJ,06,020022838,ACTIVE,FNS03530475,SDU Spares,SDU-RTP10,3
005C741,CISCO,A02-MEMKIT-004A,RTP10 SDU Lab,E,07,020022838,ACTIVE,QCI1408A3DC,SDU Spares,SDU-RTP10,3
005C742,MRV,LX-5250-24VYS1,RTP10 SDU Lab,E,17,020022838,ACTIVE,AABC0001490,SDU CVF,SDU-RTP10,2
005C746,MRV,LX-5250-24VYS1,RTP10 SDU Lab,F,24,020022838,ACTIVE,AABC0000521,SDU CVF,SDU-RTP10,2
005C747,CISCO,"RACK: 19"" - 7FT",RTP10 SDU Lab,II,16,020022838,ACTIVE,103471643,SDU Spares,SDU-RTP10,3
